u,phi,gr,gradphi,u,
1.3,2606,18.13284024,673.8622893,1.3,103.8622893
4.3,2772,23.36331361,678.6850839,4.3,108.6850839
6.7,2796,24.11952663,682.9519797,6.7,112.9519797
7.9,2824,25.00177515,685.9226731,7.9,115.9226731
9.1,2868,26.38816568,688.6475534,9.1,118.6475534
10.7,2924,28.15266272,695.7635468,10.7,125.7635468
10,2650,19.51923077,723.7171434,10,153.7171434
9.1,2504,14,738.8571429,9.1,168.8571429
7.5,2420,12,771.6666667,7.5,201.6666667
5.3,2280,8,855,5.3,285
4.2,2170,6,931.6666667,4.2,361.6666667
1.5,1800,2,1470,1.5,900
